Date Downloaded,County,Demographic,Number with at least one dose,At Least One Dose (%),Completed Series (#),Completed Series (%),Number of adults with at least one dose,% adults w/at least one dose,Adults (18+) who completed the series,% adults completed series,Population,Adult (18+) Population
2021/11/22,Adams County,South Central,"10,309",51.0%,"9,858",48.8%,"9,964",57.4%,"9,543",54.9%,"20,220","17,372"
,Ashland County,Northwest,"9,983",64.1%,"9,535",61.3%,"9,320",76.8%,"8,938",73.7%,"15,562","12,135"
,Barron County,Northwest,"23,423",51.8%,"22,407",49.5%,"22,333",62.8%,"21,398",60.2%,"45,244","35,535"
,Bayfield County,Northwest,"10,418",69.3%,"9,928",66.0%,"9,864",79.4%,"9,405",75.7%,"15,036","12,431"
,Brown County,Northeast,"157,705",59.6%,"151,325",57.2%,"145,974",72.1%,"140,211",69.3%,"264,542","202,324"
,Buffalo County,Western,"7,534",57.8%,"7,268",55.8%,"7,098",68.5%,"6,863",66.2%,"13,031","10,366"
,Burnett County,Northwest,"8,195",53.2%,"7,731",50.2%,"7,942",62.4%,"7,514",59.0%,"15,414","12,730"
,Calumet County,Fox Valley Area,"26,487",52.9%,"25,480",50.9%,"24,644",64.1%,"23,752",61.8%,"50,089","38,423"
,Chippewa County,Northwest,"34,924",54.0%,"33,638",52.0%,"32,902",65.1%,"31,733",62.8%,"64,658","50,522"
,Clark County,North Central,"12,154",35.0%,"11,693",33.6%,"11,578",47.2%,"11,170",45.5%,"34,774","24,534"
,Columbia County,South Central,"35,998",62.6%,"34,378",59.8%,"33,565",73.9%,"32,089",70.6%,"57,532","45,433"
,Crawford County,Western,"8,759",54.3%,"8,396",52.0%,"8,275",64.2%,"7,951",61.6%,"16,131","12,898"
,Dane County,South Central,"412,709",75.5%,"395,782",72.4%,"381,586",87.4%,"366,109",83.9%,"546,695","436,427"
,Dodge County,South Central,"42,299",48.2%,"40,434",46.0%,"39,928",56.5%,"38,239",54.1%,"87,839","70,666"
,Door County,Northeast,"20,603",74.5%,"19,575",70.7%,"19,646",84.8%,"18,669",80.6%,"27,668","23,171"
,Douglas County,Northwest,"26,839",62.2%,"25,222",58.5%,"25,151",72.5%,"23,651",68.1%,"43,150","34,706"
,Dunn County,Northwest,"21,033",46.4%,"20,264",44.7%,"19,672",53.9%,"18,977",52.0%,"45,368","36,503"
,Eau Claire County,Northwest,"60,995",58.3%,"58,897",56.3%,"56,889",68.1%,"54,978",65.8%,"104,646","83,560"
,Florence County,Northeast,"2,093",48.7%,"2,006",46.7%,"2,033",55.2%,"1,951",53.0%,"4,295","3,682"
,Fond du Lac County,Southeast,"53,174",51.4%,"50,784",49.1%,"50,311",61.8%,"48,121",59.1%,"103,403","81,450"
,Forest County,North Central,"4,384",48.7%,"4,186",46.5%,"4,239",58.6%,"4,050",56.0%,"9,004","7,230"
