Date Downloaded,County,Demographic,Number with at least one dose,At Least One Dose (%),Completed Series (#),Completed Series (%),Number of adults with at least one dose,% adults w/at least one dose,Adults (18+) who completed the series,% adults completed series,Population,Adult (18+) Population
2021/11/20,Adams County,0-11,0,0.0%,0,0.0%,0,,0,,"1,752",0
2021/11/20,Adams County,12-15,224,29.4%,207,27.2%,0,,0,,761,0
2021/11/20,Adams County,16-17,117,34.9%,103,30.7%,0,,0,,335,0
2021/11/20,Adams County,18-24,446,40.7%,406,37.0%,446,40.7%,406,37.0%,"1,097","1,097"
2021/11/20,Adams County,25-34,616,32.3%,572,30.0%,616,32.3%,572,30.0%,"1,907","1,907"
2021/11/20,Adams County,35-44,824,42.7%,786,40.7%,824,42.7%,786,40.7%,"1,929","1,929"
2021/11/20,Adams County,45-54,"1,142",48.0%,"1,079",45.3%,"1,142",48.0%,"1,079",45.3%,"2,380","2,380"
2021/11/20,Adams County,55-64,"2,538",64.1%,"2,449",61.8%,"2,538",64.1%,"2,449",61.8%,"3,961","3,961"
2021/11/20,Adams County,65+,"4,378",71.8%,"4,221",69.2%,"4,378",71.8%,"4,221",69.2%,"6,098","6,098"
2021/11/20,Ashland County,0-11,0,0.0%,0,0.0%,0,,0,,"2,215",0
2021/11/20,Ashland County,12-15,461,57.4%,409,50.9%,0,,0,,803,0
2021/11/20,Ashland County,16-17,201,49.1%,187,45.7%,0,,0,,409,0
2021/11/20,Ashland County,18-24,749,53.5%,691,49.3%,749,53.5%,691,49.3%,"1,401","1,401"
2021/11/20,Ashland County,25-34,"1,039",64.3%,948,58.6%,"1,039",64.3%,948,58.6%,"1,617","1,617"
2021/11/20,Ashland County,35-44,"1,284",73.1%,"1,215",69.2%,"1,284",73.1%,"1,215",69.2%,"1,756","1,756"
2021/11/20,Ashland County,45-54,"1,272",72.9%,"1,219",69.9%,"1,272",72.9%,"1,219",69.9%,"1,745","1,745"
2021/11/20,Ashland County,55-64,"1,954",79.3%,"1,884",76.4%,"1,954",79.3%,"1,884",76.4%,"2,465","2,465"
2021/11/20,Ashland County,65+,"3,022",95.9%,"2,939",93.3%,"3,022",95.9%,"2,939",93.3%,"3,151","3,151"
2021/11/20,Barron County,0-11,1,0.0%,0,0.0%,0,,0,,"6,250",0
2021/11/20,Barron County,12-15,664,28.7%,615,26.6%,0,,0,,"2,313",0
2021/11/20,Barron County,16-17,420,36.6%,392,34.2%,0,,0,,"1,146",0
2021/11/20,Barron County,18-24,"1,345",43.8%,"1,214",39.5%,"1,345",43.8%,"1,214",39.5%,"3,073","3,073"
2021/11/20,Barron County,25-34,"1,989",41.0%,"1,821",37.6%,"1,989",41.0%,"1,821",37.6%,"4,849","4,849"
2021/11/20,Barron County,35-44,"2,735",54.6%,"2,570",51.3%,"2,735",54.6%,"2,570",51.3%,"5,011","5,011"
2021/11/20,Barron County,45-54,"2,923",54.5%,"2,813",52.4%,"2,923",54.5%,"2,813",52.4%,"5,367","5,367"
2021/11/20,Barron County,55-64,"4,839",68.9%,"4,672",66.5%,"4,839",68.9%,"4,672",66.5%,"7,022","7,022"
2021/11/20,Barron County,65+,"8,459",82.8%,"8,166",80.0%,"8,459",82.8%,"8,166",80.0%,"10,213","10,213"
2021/11/20,Bayfield County,0-11,0,0.0%,0,0.0%,0,,0,,"1,668",0
2021/11/20,Bayfield County,12-15,377,62.9%,353,58.9%,0,,0,,599,0
2021/11/20,Bayfield County,16-17,177,52.4%,169,50.0%,0,,0,,338,0
2021/11/20,Bayfield County,18-24,524,61.8%,487,57.4%,524,61.8%,487,57.4%,848,848
2021/11/20,Bayfield County,25-34,762,60.5%,703,55.8%,762,60.5%,703,55.8%,"1,259","1,259"
2021/11/20,Bayfield County,35-44,979,68.1%,911,63.4%,979,68.1%,911,63.4%,"1,438","1,438"
2021/11/20,Bayfield County,45-54,"1,234",69.1%,"1,188",66.5%,"1,234",69.1%,"1,188",66.5%,"1,786","1,786"
2021/11/20,Bayfield County,55-64,"2,255",79.0%,"2,141",75.0%,"2,255",79.0%,"2,141",75.0%,"2,855","2,855"
2021/11/20,Bayfield County,65+,"4,088",96.3%,"3,921",92.4%,"4,088",96.3%,"3,921",92.4%,"4,245","4,245"
2021/11/20,Brown County,0-11,4,0.0%,3,0.0%,0,,0,,"40,971",0
2021/11/20,Brown County,12-15,"7,695",54.3%,"7,254",51.2%,0,,0,,"14,166",0
2021/11/20,Brown County,16-17,"4,006",56.6%,"3,825",54.0%,0,,0,,"7,081",0
2021/11/20,Brown County,18-24,"13,446",55.6%,"12,523",51.8%,"13,446",55.6%,"12,523",51.8%,"24,163","24,163"
2021/11/20,Brown County,25-34,"20,932",58.4%,"19,651",54.9%,"20,932",58.4%,"19,651",54.9%,"35,824","35,824"
2021/11/20,Brown County,35-44,"23,280",69.1%,"22,278",66.2%,"23,280",69.1%,"22,278",66.2%,"33,671","33,671"
2021/11/20,Brown County,45-54,"22,858",70.1%,"22,037",67.6%,"22,858",70.1%,"22,037",67.6%,"32,610","32,610"
2021/11/20,Brown County,55-64,"27,778",78.8%,"26,950",76.5%,"27,778",78.8%,"26,950",76.5%,"35,250","35,250"
2021/11/20,Brown County,65+,"37,493",91.9%,"36,185",88.7%,"37,493",91.9%,"36,185",88.7%,"40,806","40,806"
2021/11/20,Buffalo County,0-11,2,0.1%,0,0.0%,0,,0,,"1,712",0
2021/11/20,Buffalo County,12-15,292,45.4%,271,42.1%,0,,0,,643,0
2021/11/20,Buffalo County,16-17,142,45.8%,134,43.2%,0,,0,,310,0
